train_name,method,test_set,alpha,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
leave_out_ghostbuster,full,all_samples,,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.12507777777777782,0.25035603703703707
leave_out_ghostbuster,transition,all_samples,,0.5943777777777778,0.5780111881772794,0.6714975845410628,0.03333333333333333,0.08666666666666667,0.1516777777777778,0.2691623333333334
leave_out_ghostbuster,late_fusion,all_samples,1.0,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.12507777777777782,0.25035603703703707
combined_strict,full,m4_test,,0.9910909656113494,0.9983412853584541,0.9827483640690066,0.8045563549160671,0.9646282973621103,0.034832909245122876,0.02597700876448968
combined_strict,transition,m4_test,,0.9188204991562307,0.9830923702685477,0.9394829612220916,0.4748201438848921,0.6516786570743405,0.02466836301950813,0.075117636415041
combined_strict,late_fusion,m4_test,0.9,0.9908224935203354,0.9983172423375357,0.9815695600475625,0.8201438848920863,0.9670263788968825,0.043718744698897374,0.027772447610969746
combined_strict,full,ghostbuster_test,,0.9922480620155039,0.9938420831931558,0.9632446134347274,0.7803617571059431,0.9741602067183462,0.05836815920398007,0.037960464344941956
combined_strict,transition,ghostbuster_test,,0.9476219172578775,0.9631975840816237,0.8810679611650486,0.4909560723514212,0.8217054263565892,0.09175621890547264,0.10195580431177446
combined_strict,late_fusion,ghostbuster_test,0.9,0.9916910912062527,0.993403354166632,0.9644670050761421,0.7571059431524548,0.9689922480620154,0.07177462686567171,0.040315268490878936
combined_strict,full,hc3_plus_test,,0.9511387163561076,0.972767194988169,0.8432432432432433,0.7329192546583851,0.8633540372670807,0.16043859649122805,0.13646746031746032
combined_strict,transition,hc3_plus_test,,0.9422360248447205,0.9637187310555374,0.8337730870712401,0.577639751552795,0.7080745341614907,0.1660651629072682,0.14660392648287385
combined_strict,late_fusion,hc3_plus_test,0.9,0.9520260278024253,0.973194543094102,0.8463611859838275,0.7204968944099379,0.8695652173913043,0.16100125313283206,0.13588172723475353
combined_strict,full,all_samples,,0.6332444444444445,0.6186989044672537,0.6193548387096774,0.02,0.04666666666666667,0.08477777777777777,0.24423022222222224
combined_strict,transition,all_samples,,0.5972,0.5751395723013646,0.6204819277108434,0.013333333333333334,0.08666666666666667,0.1047888888888889,0.254187962962963
combined_strict,late_fusion,all_samples,0.9,0.6402666666666668,0.6244262765940549,0.6233766233766234,0.02,0.04666666666666667,0.06875666666666666,0.24203675962962962
