train_name,experiment,test_set,best_model,n_train,n_test,n_features,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,ece,brier_score
m4,transition_top50,hc3_plus_test,random_forest,15623,266,50,0.8075421472937001,0.8388039005318473,0.7796610169491526,0.0,0.0,0.3338847117794486,0.3124771094402673
m4,transition_top50,all_samples,random_forest,15623,300,50,0.5137333333333333,0.5058650770475293,0.6697459584295612,0.0,0.0,0.4406444444444445,0.4470635555555555
m4,transition_top100,m4_test,random_forest,15623,1965,100,0.9399480415667467,0.9881577102696277,0.9429569266589057,0.6546762589928058,0.7841726618705036,0.027323155216285033,0.06901452643483177
m4,transition_top100,ghostbuster_test,random_forest,15623,670,100,0.8925183298180257,0.9101903275876548,0.825836216839677,0.21963824289405684,0.6304909560723514,0.1209850746268657,0.14970878938640134
m4,transition_top100,hc3_plus_test,random_forest,15623,266,100,0.8369121561668146,0.873036000717924,0.7796610169491526,0.0,0.5279503105590062,0.3276691729323309,0.3059697577276525
m4,transition_top100,all_samples,random_forest,15623,300,100,0.5045555555555554,0.5199740415378362,0.6651376146788991,0.0,0.06,0.4172111111111111,0.4399093703703704
m4,transition_summary_only,m4_test,random_forest,15623,1965,99,0.9352275755153453,0.9879827056073285,0.9375,0.6300959232613909,0.7547961630695443,0.026580152671755796,0.0726429346904156
m4,transition_summary_only,ghostbuster_test,random_forest,15623,670,99,0.8985673980332539,0.9170447050347302,0.8257918552036199,0.10077519379844961,0.6098191214470284,0.12870646766169158,0.14982991708126037
m4,transition_summary_only,hc3_plus_test,random_forest,15623,266,99,0.7801833776989057,0.8059925299218113,0.7815533980582524,0.0,0.0,0.3291729323308272,0.30931303258145354
m4,transition_summary_only,all_samples,random_forest,15623,300,99,0.5138222222222222,0.5239243857681385,0.669683257918552,0.0,0.09333333333333334,0.43821111111111116,0.4489413703703703
m4,transition_l1_selected,m4_test,logistic_regression,15623,1965,204,0.9467638010803479,0.989933158453365,0.91456,0.5665467625899281,0.8033573141486811,0.12069413339621649,0.09788613372797855
m4,transition_l1_selected,ghostbuster_test,logistic_regression,15623,670,204,0.8836387542115212,0.9023170968752682,0.7822222222222223,0.1937984496124031,0.5788113695090439,0.13550727457037043,0.1619386469026489
m4,transition_l1_selected,hc3_plus_test,logistic_regression,15623,266,204,0.8110026619343389,0.8609106729790583,0.8040712468193384,0.11180124223602485,0.36645962732919257,0.2571939141413617,0.2568007280959148
m4,transition_l1_selected,all_samples,logistic_regression,15623,300,204,0.5001333333333333,0.4917849965224639,0.6153846153846154,0.0,0.04,0.3945651220497716,0.4203782902326545
leave_out_ghostbuster,transition_only,m4_test,random_forest,16204,1965,348,0.9330545664478519,0.9871774769001638,0.9410745233968805,0.61810551558753,0.7134292565947242,0.03026632739609842,0.0725062482329658
leave_out_ghostbuster,transition_only,ghostbuster_test,random_forest,16204,670,348,0.9202344755800257,0.9437872473305016,0.8443935926773455,0.4702842377260982,0.7235142118863049,0.13059203980099499,0.14108276948590384
leave_out_ghostbuster,transition_only,hc3_plus_test,random_forest,16204,266,348,0.9438923395445135,0.9656182890655232,0.803030303030303,0.6211180124223602,0.7142857142857143,0.2068922305764411,0.17366499582289058
leave_out_ghostbuster,transition_only,all_samples,random_forest,16204,300,348,0.5943777777777778,0.5780111881772794,0.6714975845410628,0.03333333333333333,0.08666666666666667,0.1516777777777778,0.2691623333333334
leave_out_ghostbuster,full_without_transition,m4_test,random_forest,16204,1965,276,0.9924989301488103,0.998599710127872,0.9813333333333333,0.842326139088729,0.9664268585131894,0.03240882103477527,0.023861334464235228
leave_out_ghostbuster,full_without_transition,ghostbuster_test,random_forest,16204,670,276,0.9077482857168945,0.9356999901505917,0.8443271767810027,0.4418604651162791,0.6304909560723514,0.04053233830845768,0.12160542288557212
leave_out_ghostbuster,full_without_transition,hc3_plus_test,random_forest,16204,266,276,0.953416149068323,0.9741380358610225,0.8186528497409327,0.7515527950310559,0.8757763975155279,0.1878822055137844,0.15330321637426902
leave_out_ghostbuster,full_without_transition,all_samples,random_forest,16204,300,276,0.6486444444444445,0.6230261740412133,0.6542553191489362,0.02,0.06,0.12507777777777782,0.25035603703703707
leave_out_ghostbuster,full_plus_transition,m4_test,random_forest,16204,1965,624,0.9918025175818941,0.9984835709418796,0.9807749186631174,0.8447242206235012,0.9646282973621103,0.04055470737913491,0.02686832343794176
leave_out_ghostbuster,full_plus_transition,ghostbuster_test,random_forest,16204,670,624,0.9136284365555464,0.9409614524844881,0.8590078328981723,0.4909560723514212,0.6744186046511628,0.03191044776119403,0.11789890547263682
leave_out_ghostbuster,full_plus_transition,hc3_plus_test,random_forest,16204,266,624,0.9518189884649512,0.9732225623330542,0.8102564102564103,0.6770186335403726,0.8757763975155279,0.18969924812030073,0.1552015873015873
leave_out_ghostbuster,full_plus_transition,all_samples,random_forest,16204,300,624,0.6816222222222222,0.6480348010478585,0.683291770573566,0.02,0.07333333333333333,0.13697777777777773,0.24711866666666665
leave_out_ghostbuster,transition_all,m4_test,random_forest,16204,1965,348,0.9330545664478519,0.9871774769001638,0.9410745233968805,0.61810551558753,0.7134292565947242,0.03026632739609842,0.0725062482329658
