status,experiment,model,train_source,feature_set,test_set,best_model,n_features,positive_class_rate,mean_ai_probability_human,mean_ai_probability_ai,auroc,auprc,accuracy,balanced_accuracy,precision,recall,tpr,specificity,tnr,f1,mcc,fpr,fnr,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,fpr_at_tpr_90pct,fpr_at_tpr_95pct,brier_score,expected_calibration_error,ECE,log_loss
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,transition_plus_strict_koopman,hc3_plus_test,RandomForest,529,0.6052631578947368,0.5050793650793651,0.8105175983436852,0.9425317953268264,0.9539522272978811,0.849624060150376,0.8111801242236025,0.8040201005025126,0.9937888198757764,0.9937888198757764,0.6285714285714286,0.6285714285714286,0.8888888888888888,0.7007861232738863,0.37142857142857144,0.006211180124223602,0.453416149068323,0.6645962732919255,0.8012422360248447,0.1523809523809524,0.18095238095238095,0.13635664160401,0.19398496240601507,0.19398496240601507,0.44006142448309205
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,all_samples,RandomForest,805,0.5,0.41835555555555554,0.4755333333333334,0.6063555555555554,0.6153318952255258,0.5733333333333334,0.5733333333333334,0.6,0.44,0.44,0.7066666666666667,0.7066666666666667,0.5076923076923077,0.1521771820505364,0.29333333333333333,0.56,0.02,0.14666666666666667,0.26,0.8066666666666666,0.8666666666666667,0.24509344444444442,0.07670000000000003,0.07670000000000003,0.6838843251876263
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,m4_test,RandomForest,805,0.85,0.4337037037037037,0.9013856209150327,0.9651416122004358,0.9938115542957485,0.9266666666666666,0.8196078431372549,0.9429657794676806,0.9725490196078431,0.9725490196078431,0.6666666666666666,0.6666666666666666,0.9575289575289575,0.6941367447791004,0.3333333333333333,0.027450980392156862,0.7411764705882353,0.8470588235294118,0.9215686274509803,0.06666666666666667,0.15555555555555556,0.05849959259259259,0.06676666666666664,0.06676666666666664,0.199323881940638
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,ghostbuster_test,RandomForest,805,0.5766666666666667,0.44131233595800534,0.8615799614643546,0.9400345910518411,0.9601468447808943,0.8233333333333334,0.8039005962404988,0.7970297029702971,0.930635838150289,0.930635838150289,0.6771653543307087,0.6771653543307087,0.8586666666666667,0.6403209883286055,0.3228346456692913,0.06936416184971098,0.5780346820809249,0.7572254335260116,0.8265895953757225,0.1968503937007874,0.3700787401574803,0.12327496296296296,0.1187777777777778,0.1187777777777778,0.3758033834216888
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank16_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_transition_plus_strict_koopman,hc3_plus_test,RandomForest,805,0.6052631578947368,0.3200952380952381,0.8846997929606625,0.9672286305826678,0.9791929123382124,0.9172932330827067,0.9068322981366459,0.9112426035502958,0.9565217391304348,0.9565217391304348,0.8571428571428571,0.8571428571428571,0.9333333333333333,0.8262734302131388,0.14285714285714285,0.043478260869565216,0.7080745341614907,0.7950310559006211,0.8509316770186336,0.12380952380952381,0.13333333333333333,0.08246541353383459,0.08849624060150384,0.08849624060150384,0.2743559707457064
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank32_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,all_samples,RandomForest,39,0.5,0.6199333333333332,0.6590888888888887,0.540088888888889,0.534285178716511,0.5333333333333333,0.5333333333333333,0.5225225225225225,0.7733333333333333,0.7733333333333333,0.29333333333333333,0.29333333333333333,0.6236559139784946,0.0759934587645922,0.7066666666666667,0.22666666666666666,0.02666666666666667,0.07333333333333333,0.13333333333333333,0.8666666666666667,0.92,0.29564333333333337,0.1935111111111111,0.1935111111111111,0.8246805686304176
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank32_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,m4_test,RandomForest,39,0.85,0.593925925925926,0.8151633986928105,0.8033551198257081,0.9588627277161729,0.83,0.6071895424836602,0.8805970149253731,0.9254901960784314,0.9254901960784314,0.28888888888888886,0.28888888888888886,0.9024856596558317,0.24797983907025337,0.7111111111111111,0.07450980392156863,0.2823529411764706,0.396078431372549,0.5019607843137255,0.6444444444444445,0.8666666666666667,0.11944533333333335,0.0683555555555555,0.0683555555555555,0.37355226601540287
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank32_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,ghostbuster_test,RandomForest,39,0.5766666666666667,0.6356692913385825,0.8679383429672447,0.8409949478858496,0.8783406842737702,0.6733333333333333,0.6141732283464567,0.6383763837638377,1.0,1.0,0.2283464566929134,0.2283464566929134,0.7792792792792793,0.38179966640753865,0.7716535433070866,0.0,0.30057803468208094,0.3583815028901734,0.5086705202312138,0.4566929133858268,0.5275590551181102,0.20821025925925923,0.19294444444444442,0.19294444444444442,0.6011520089368871
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank32_len256_n300,qwen25_1_5b,leave_out_ghostbuster,strict_koopman_spectral_only,hc3_plus_test,RandomForest,39,0.6052631578947368,0.40047619047619043,0.9149275362318842,0.9482105885832594,0.9590161518512809,0.8646616541353384,0.8318840579710145,0.8238341968911918,0.9875776397515528,0.9875776397515528,0.6761904761904762,0.6761904761904762,0.8983050847457628,0.7270828322034929,0.3238095238095238,0.012422360248447204,0.4409937888198758,0.639751552795031,0.8881987577639752,0.13333333333333333,0.2,0.10411487050960734,0.10659147869674182,0.10659147869674182,0.3439768762506259
ok,leave_out_ghostbuster_qwen25_1_5b_hidden_to_obs3072_rank32_len256_n300,qwen25_1_5b,leave_out_ghostbuster,full_plus_strict_koopman,all_samples,RandomForest,315,0.5,0.4441555555555556,0.5170444444444445,0.6114666666666667,0.6267603650139243,0.5733333333333334,0.5733333333333334,0.5763888888888888,0.5533333333333333,0.5533333333333333,0.5933333333333334,0.5933333333333334,0.564625850340136,0.14678414098799655,0.4066666666666667,0.44666666666666666,0.02,0.18,0.26,0.7733333333333333,0.8266666666666667,0.24464792592592594,0.09679999999999998,0.09679999999999998,0.6831826211579893
