experiment,model,train_source,loss_mode,dmd_rank,feature_set,best_model,test_set,n_features,positive_class_rate,auroc,auprc,f1,mcc,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tpr_at_fpr_10pct,ECE,brier_score,log_loss,public_mean_auroc,public_mean_auprc,public_mean_f1,public_mean_mcc,public_mean_tpr_at_fpr_5pct,public_mean_ECE,public_mean_brier_score
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.6782666666666666,0.6540836553554179,0.6767676767676768,0.1908790423082963,0.0133333333333333,0.08,0.2733333333333333,0.1621000000000001,0.253075962962963,0.7237265685307093,0.9596257010761469,0.9742465904464644,0.8956219014899144,0.7097857339418449,0.8407125327712216,0.08091877827948776,0.08766439988014967
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,full_plus_transition_plus_strict_koopman,RandomForest,all_samples,805,0.5,0.6437555555555556,0.6333083918531374,0.6636363636363637,0.0371390676354103,0.0133333333333333,0.08,0.2466666666666666,0.1944333333333333,0.2738221111111111,0.7617499799817349,0.9437816316398155,0.9646187365392613,0.855650379344527,0.5989562936846494,0.806227375940261,0.1045601755518643,0.1132498794548602
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.5453111111111111,0.5669628530596196,0.6482758620689655,-0.0458831467741123,0.0133333333333333,0.08,0.1866666666666666,0.3379333333333332,0.3640174814814815,1.0568982231853414,0.8996501125722322,0.9415178040229254,0.8239451242521882,0.3459977131863991,0.5707671332239422,0.1700758752552136,0.1740137070900003
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.5422222222222223,0.5519728746025099,0.6621621621621622,0.0,0.0333333333333333,0.08,0.0866666666666666,0.3935444444444445,0.4103831481481481,1.4659012494873058,0.9316292454250901,0.9644388601370132,0.82602747177461,0.36033534727945654,0.6387781392200506,0.1846132298705951,0.16796111917576187
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.5226222222222222,0.5404172838807619,0.6606741573033708,-0.0260377821961647,0.04,0.0733333333333333,0.1133333333333333,0.3262555555555555,0.3609161111111111,1.0269034698555757,0.8918959760925458,0.9381671116048812,0.8173187377803751,0.2927928948884995,0.5750179095011824,0.17552350588978607,0.1833129191357025
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,16,transition_plus_strict_koopman,RandomForest,all_samples,529,0.5,0.4534666666666667,0.4815415487203744,0.6666666666666666,0.0,0.02,0.0666666666666666,0.0866666666666666,0.3715777777777778,0.3924734814814815,1.146268125454844,0.6700266424548119,0.7995200918711772,0.8015362858999802,0.0,0.2534179695581009,0.22547682905947028,0.25719260353547396
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.6161555555555555,0.6086427162742961,0.6476683937823834,0.1139152971082208,0.02,0.06,0.22,0.1581888888888889,0.2673909259259259,0.7519092014173278,0.9455504517663926,0.965102859887013,0.876237655210454,0.6745959343289428,0.8261118968468155,0.09881791695828375,0.1042685522762552
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,transition_plus_strict_koopman,RandomForest,all_samples,529,0.5,0.4459333333333333,0.4692466722821243,0.6666666666666666,0.0,0.0133333333333333,0.0466666666666666,0.0733333333333333,0.3708999999999999,0.3944732222222222,1.1603299842881176,0.6927575149052405,0.8035365622687894,0.8015362858999802,0.0,0.20925636110111379,0.23040145218286048,0.25829315590456436
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,32,transition_plus_strict_koopman,LogisticRegression,all_samples,529,0.5,0.5368888888888889,0.5232402065685149,0.6636771300448431,0.0,0.0066666666666666,0.04,0.1266666666666666,0.447234333735969,0.4442770956055661,1.939914297549887,0.5041439838827616,0.6564487666733844,0.7988303428986964,0.0104133137840741,0.15824769045084597,0.23701910658307657,0.2766850274322468
leave_out_ghostbuster_qwen25_1_5b_recon_lin_multi_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin_multi,16,full_plus_strict_koopman,RandomForest,all_samples,315,0.5,0.631,0.6201621442840691,0.6446700507614214,0.0855482388536443,0.0133333333333333,0.0333333333333333,0.26,0.1533888888888889,0.2640468518518518,0.7412784763408256,0.9445897595163193,0.9648814963112445,0.8747652141394443,0.6697410843161,0.8014050505466876,0.09141921417039996,0.10396995254309145
leave_out_ghostbuster_qwen25_1_5b_recon_lin_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_lin,32,transition_plus_strict_koopman,RandomForest,all_samples,529,0.5,0.4867777777777777,0.4804373059344352,0.6666666666666666,0.0,0.0,0.0266666666666666,0.0533333333333333,0.4278222222222221,0.4359328888888888,1.4220943677436952,0.5579216418772668,0.7004583858719636,0.8015362858999802,0.0,0.1242710391367199,0.26161590229418824,0.2849695266450278
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,transition_plus_strict_koopman,RandomForest,all_samples,529,0.5,0.4602888888888888,0.4677444461181945,0.6666666666666666,0.0,0.0066666666666666,0.0266666666666666,0.04,0.4481,0.4529764814814815,1.5942697420676644,0.7797162001216269,0.8831935849774903,0.8015362858999802,0.0,0.36798341191267697,0.27216583741581485,0.2841208490186851
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank32_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,32,transition_plus_strict_koopman,RandomForest,all_samples,529,0.5,0.4755333333333333,0.4804413438143951,0.6666666666666666,0.0,0.0066666666666666,0.02,0.06,0.4537,0.4574136666666667,1.6697077487886858,0.7416641379342561,0.8447811532394375,0.803458335565194,0.0851037989383613,0.18147548502677946,0.27686264640625025,0.2872632316762181
leave_out_ghostbuster_qwen25_1_5b_recon_only_hidden_to_obs3072_rank16_len256,qwen25_1_5b,leave_out_ghostbuster,recon_only,16,strict_koopman_spectral_only,RandomForest,all_samples,39,0.5,0.4706222222222222,0.4749804177291595,0.6621315192743764,0.0195403460586849,0.0,0.02,0.06,0.3792777777777779,0.4033984814814815,1.5149478608499278,0.9281571352471049,0.9636477523719895,0.8279823680908466,0.36266280209493745,0.6699821133992705,0.18594403628353603,0.17187237356130905
