train_source,test_set,feature_set,auroc,auprc,f1,tpr_at_fpr_1pct,tpr_at_fpr_5pct,fpr_at_tpr_95pct
leave_out_ghostbuster,hc3_plus_test,transition_plus_strict_koopman,0.4413782904466135,0.578124929166269,0.7540983606557377,0.006211180124223602,0.012422360248447204,0.9619047619047619
leave_out_ghostbuster,all_samples,full_plus_transition_plus_strict_koopman,0.6576888888888889,0.656414569086135,0.6619385342789598,0.013333333333333334,0.20666666666666667,0.9
leave_out_ghostbuster,m4_test,full_plus_transition_plus_strict_koopman,0.9928188762121617,0.9986891172960414,0.9845513963161022,0.8621103117505995,0.9778177458033573,0.037037037037037035
leave_out_ghostbuster,ghostbuster_test,full_plus_transition_plus_strict_koopman,0.8768272751344491,0.9186492632116134,0.8033240997229917,0.4754521963824289,0.6175710594315246,0.607773851590106
leave_out_ghostbuster,hc3_plus_test,full_plus_transition_plus_strict_koopman,0.961608991422656,0.9771177950258074,0.7901234567901234,0.7453416149068323,0.8633540372670807,0.24761904761904763
leave_out_ghostbuster,all_samples,strict_koopman_spectral_only,0.5226222222222222,0.5404172838807619,0.6606741573033708,0.04,0.07333333333333333,0.96
leave_out_ghostbuster,m4_test,strict_koopman_spectral_only,0.9090465001735986,0.9818797356396253,0.9348135496726445,0.4520383693045564,0.6073141486810552,0.43097643097643096
leave_out_ghostbuster,ghostbuster_test,strict_koopman_spectral_only,0.8664639658147752,0.8979278405005735,0.7497565725413826,0.2248062015503876,0.5090439276485789,0.5724381625441696
leave_out_ghostbuster,hc3_plus_test,strict_koopman_spectral_only,0.9001774622892634,0.9346937586744447,0.7673860911270983,0.43478260869565216,0.6086956521739131,0.42857142857142855
leave_out_ghostbuster,all_samples,full_plus_strict_koopman,0.631,0.6201621442840691,0.6446700507614214,0.013333333333333334,0.03333333333333333,0.9
leave_out_ghostbuster,m4_test,full_plus_strict_koopman,0.9948707700506262,0.9990705916427122,0.9863176680547293,0.9112709832134293,0.9838129496402878,0.03367003367003367
leave_out_ghostbuster,ghostbuster_test,full_plus_strict_koopman,0.8817852284036851,0.9195519993181751,0.8055172413793104,0.4392764857881137,0.5943152454780362,0.5795053003533569
leave_out_ghostbuster,hc3_plus_test,full_plus_strict_koopman,0.9571132800946466,0.9760218979728461,0.8324607329842932,0.7763975155279503,0.8260869565217391,0.2571428571428571
leave_out_ghostbuster,all_samples,transition_plus_strict_koopman,0.4459333333333333,0.46924667228212436,0.6666666666666666,0.013333333333333334,0.04666666666666667,0.98
